"Year","HousingStarts"
1959,1517
1960,1252.2
1961,1313
1962,1462.9
1963,1603.2
1964,1528.8
1965,1472.8
1966,1164.9
1967,1291.6
1968,1507.6
1969,1466.8
1970,1433.6
1971,2052.2
1972,2356.6
1973,2045.3
1974,1337.7
1975,1160.4
1976,1537.5
1977,1987.1
1978,2020.3
1979,1745.1
1980,1292.2
1981,1084.2
1982,1062.2
1983,1703
1984,1749.5
1985,1741.8
1986,1805.4
1987,1620.5
1988,1488.1
1989,1376.1
1990,1192.7
1991,1013.9
1992,1199.7
1993,1287.6
1994,1457
1995,1354.1
1996,1476.8
1997,1474
1998,1616.9
1999,1640.9
2000,1568.7
2001,1602.7
2002,1704.9
2003,1847.7
2004,1955.8
2005,2068.3
2006,1800.9
2007,1355
2008,905.5
2009,554
2010,587.6
2011,608.8
2012,780.6
2013,926.9
2014,1015.6
